[1.197s] Built target tests
[1.833s] [36mInstall the project...[0m
[1.891s] -- Install configuration: "Release"
[1.892s] -- Up-to-date: /home/capstone/autoware.ai/install/autoware_quickstart_examples/lib/pkgconfig/autoware_quickstart_examples.pc
[1.892s] -- Up-to-date: /home/capstone/autoware.ai/install/autoware_quickstart_examples/share/autoware_quickstart_examples/cmake/autoware_quickstart_examplesConfig.cmake
[1.892s] -- Up-to-date: /home/capstone/autoware.ai/install/autoware_quickstart_examples/share/autoware_quickstart_examples/cmake/autoware_quickstart_examplesConfig-version.cmake
[1.892s] -- Up-to-date: /home/capstone/autoware.ai/install/autoware_quickstart_examples/share/autoware_quickstart_examples/package.xml
[1.892s] -- Up-to-date: /home/capstone/autoware.ai/install/autoware_quickstart_examples/share/autoware_quickstart_examples/launch
[1.894s] -- Up-to-date: /home/capstone/autoware.ai/install/autoware_quickstart_examples/share/autoware_quickstart_examples/launch/tf_local.launch
[1.895s] -- Up-to-date: /home/capstone/autoware.ai/install/autoware_quickstart_examples/share/autoware_quickstart_examples/launch/rosbag_demo
[1.895s] -- Up-to-date: /home/capstone/autoware.ai/install/autoware_quickstart_examples/share/autoware_quickstart_examples/launch/rosbag_demo/my_motion_planning.launch
[1.895s] -- Up-to-date: /home/capstone/autoware.ai/install/autoware_quickstart_examples/share/autoware_quickstart_examples/launch/rosbag_demo/my_map.launch
[1.896s] -- Up-to-date: /home/capstone/autoware.ai/install/autoware_quickstart_examples/share/autoware_quickstart_examples/launch/rosbag_demo/README.md
[1.896s] -- Up-to-date: /home/capstone/autoware.ai/install/autoware_quickstart_examples/share/autoware_quickstart_examples/launch/rosbag_demo/my_sensing.launch
[1.896s] -- Up-to-date: /home/capstone/autoware.ai/install/autoware_quickstart_examples/share/autoware_quickstart_examples/launch/rosbag_demo/my_detection.launch
[1.896s] -- Up-to-date: /home/capstone/autoware.ai/install/autoware_quickstart_examples/share/autoware_quickstart_examples/launch/rosbag_demo/my_localization.launch
[1.896s] -- Up-to-date: /home/capstone/autoware.ai/install/autoware_quickstart_examples/share/autoware_quickstart_examples/launch/rosbag_demo/my_mission_planning.launch
[1.896s] -- Up-to-date: /home/capstone/autoware.ai/install/autoware_quickstart_examples/share/autoware_quickstart_examples/launch/rosbag_demo/default.rviz
